[array([517.88151136, 271.68360097]), 80, 12.0, 15, array([700, 400]), 1]
[array([236.11087214, 430.78886145]), 80, 12.0, 15, array([700, 400]), 1]
[array([531.68138187, 353.86387607]), 80, 12.0, 15, array([700, 400]), 1]
[array([388.55914089, 335.27051092]), 80, 12.0, 15, array([700, 400]), 1]
[array([305.90680969, 537.42982443]), 80, 12.0, 15, array([700, 400]), 1]
[array([363.14334681, 135.80673797]), 80, 12.0, 15, array([700, 400]), 1]
[array([338.8265532 , 542.79724344]), 80, 12.0, 15, array([700, 400]), 1]
[array([209.49503827, 205.27105369]), 80, 12.0, 15, array([700, 400]), 1]
[array([418.93082431, 419.09655226]), 80, 12.0, 15, array([700, 400]), 1]
[array([480.64057513, 609.65907645]), 80, 12.0, 15, array([700, 400]), 1]
[array([534.67319492, 466.61410641]), 80, 12.0, 15, array([700, 400]), 1]
[array([533.46602954, 293.77534831]), 80, 12.0, 15, array([700, 400]), 1]
[array([317.07319337, 236.95793853]), 80, 12.0, 15, array([700, 400]), 1]
[array([276.22842783, 478.58567431]), 80, 12.0, 15, array([700, 400]), 1]
[array([155.26296397, 360.22070361]), 80, 12.0, 15, array([700, 400]), 1]
[array([358.517658  , 396.21105859]), 80, 12.0, 15, array([700, 400]), 1]
[array([355.49817418, 287.35673378]), 80, 12.0, 15, array([700, 400]), 1]
[array([355.81078418, 636.03349787]), 80, 12.0, 15, array([700, 400]), 1]
[array([666.49601092, 401.10200553]), 80, 12.0, 15, array([700, 400]), 1]
[array([474.37177108, 169.37103705]), 80, 12.0, 15, array([700, 400]), 1]
[array([290.37128909, 348.89572717]), 80, 12.0, 15, array([700, 400]), 1]
[array([619.78549473, 250.27321924]), 80, 12.0, 15, array([700, 400]), 1]
[array([411.69107156, 467.73671546]), 80, 12.0, 15, array([700, 400]), 1]
[array([172.37719959, 595.8044803 ]), 80, 12.0, 15, array([700, 400]), 1]
[array([461.83607705, 427.04080388]), 80, 12.0, 15, array([700, 400]), 1]
[array([305.65830026, 282.47247342]), 80, 12.0, 15, array([700, 400]), 1]
[array([350.21332661, 508.78045948]), 80, 12.0, 15, array([700, 400]), 1]
[array([625.27410508, 406.25340249]), 80, 12.0, 15, array([700, 400]), 1]
[array([501.58826978, 451.56193154]), 80, 12.0, 15, array([700, 400]), 1]
[array([474.94210126, 504.81343059]), 80, 12.0, 15, array([700, 400]), 1]
[array([605.40546257, 149.916993  ]), 80, 12.0, 15, array([700, 400]), 1]
[array([558.20970487, 246.19982472]), 80, 12.0, 15, array([700, 400]), 1]
[array([157.42750997, 631.19609577]), 80, 12.0, 15, array([700, 400]), 1]
[array([476.34938323, 534.04981491]), 80, 12.0, 15, array([700, 400]), 1]
[array([109.67752402, 456.65912767]), 80, 12.0, 15, array([700, 400]), 1]
[array([434.07111544, 195.37578649]), 80, 12.0, 15, array([700, 400]), 1]
[array([191.84230907, 517.31771726]), 80, 12.0, 15, array([700, 400]), 1]
[array([291.25985583, 515.18217732]), 80, 12.0, 15, array([700, 400]), 1]
[array([432.62994983, 333.37034447]), 80, 12.0, 15, array([700, 400]), 1]
[array([655.07949377, 605.00199815]), 80, 12.0, 15, array([700, 400]), 1]
[array([314.43854001, 126.15487828]), 80, 12.0, 15, array([700, 400]), 1]
[array([190.67647141, 339.32577564]), 80, 12.0, 15, array([700, 400]), 1]
[array([244.51353863, 306.07360843]), 80, 12.0, 15, array([700, 400]), 1]
[array([407.87689252, 499.9747301 ]), 80, 12.0, 15, array([700, 400]), 1]
[array([163.54509103, 178.5369704 ]), 80, 12.0, 15, array([700, 400]), 1]
[array([607.90373516, 431.95440688]), 80, 12.0, 15, array([700, 400]), 1]
[array([612.67149251, 330.90268677]), 80, 12.0, 15, array([700, 400]), 1]
[array([290.07273827, 312.55880536]), 80, 12.0, 15, array([700, 400]), 1]
[array([202.64909752, 597.4675807 ]), 80, 12.0, 15, array([700, 400]), 1]
[array([303.20250755, 431.42204518]), 80, 12.0, 15, array([700, 400]), 1]
[array([643.2049454 , 224.58151672]), 80, 12.0, 15, array([700, 400]), 1]
[array([275.49364768, 412.00609184]), 80, 12.0, 15, array([700, 400]), 1]
[array([584.18121048, 336.62203237]), 80, 12.0, 15, array([700, 400]), 1]
[array([538.64382151, 196.64140866]), 80, 12.0, 15, array([700, 400]), 1]
[array([357.00836482, 222.72571573]), 80, 12.0, 15, array([700, 400]), 1]
[array([370.38189431, 428.65814358]), 80, 12.0, 15, array([700, 400]), 1]
[array([155.99602622, 278.11646529]), 80, 12.0, 15, array([700, 400]), 1]
[array([656.55054409, 441.40223886]), 80, 12.0, 15, array([700, 400]), 1]
[array([374.44719851, 552.11559448]), 80, 12.0, 15, array([700, 400]), 1]
[array([545.11729111, 129.14741971]), 80, 12.0, 15, array([700, 400]), 1]
[array([525.21843727, 603.54600868]), 80, 12.0, 15, array([700, 400]), 1]
[array([199.56273052, 568.5987628 ]), 80, 12.0, 15, array([700, 400]), 1]
[array([271.92197004, 283.881852  ]), 80, 12.0, 15, array([700, 400]), 1]
[array([499.15687921, 166.83530296]), 80, 12.0, 15, array([700, 400]), 1]
[array([498.92346928, 632.71407561]), 80, 12.0, 15, array([700, 400]), 1]
[array([439.38520074, 150.94249792]), 80, 12.0, 15, array([700, 400]), 1]
[array([449.60265272, 588.90622174]), 80, 12.0, 15, array([700, 400]), 1]
[array([302.23983007, 656.54594775]), 80, 12.0, 15, array([700, 400]), 1]
[array([550.43020021, 444.43829509]), 80, 12.0, 15, array([700, 400]), 1]
[array([615.63344541, 592.90246792]), 80, 12.0, 15, array([700, 400]), 1]
[array([645.92299577, 177.17871851]), 80, 12.0, 15, array([700, 400]), 1]
[array([339.62722606, 354.58411665]), 80, 12.0, 15, array([700, 400]), 1]
[array([380.79254443, 584.76292569]), 80, 12.0, 15, array([700, 400]), 1]
[array([104.45582713, 430.95563559]), 80, 12.0, 15, array([700, 400]), 1]
[array([223.65743647, 530.65453737]), 80, 12.0, 15, array([700, 400]), 1]
[array([327.39150982, 501.03036836]), 80, 12.0, 15, array([700, 400]), 1]
[array([117.59183374, 481.54021561]), 80, 12.0, 15, array([700, 400]), 1]
[array([119.31876096, 546.86839309]), 80, 12.0, 15, array([700, 400]), 1]
[array([383.74780134, 173.05261328]), 80, 12.0, 15, array([700, 400]), 1]
[array([161.58115553, 519.90044486]), 80, 12.0, 15, array([700, 400]), 1]
[array([496.7007204 , 129.45827837]), 80, 12.0, 15, array([700, 400]), 1]
[array([575.37958111, 411.22995453]), 80, 12.0, 15, array([700, 400]), 1]
[array([355.52061652, 572.91230416]), 80, 12.0, 15, array([700, 400]), 1]
[array([208.9773056, 292.7913397]), 80, 12.0, 15, array([700, 400]), 1]
[array([607.31979794, 212.14224936]), 80, 12.0, 15, array([700, 400]), 1]
[array([241.95988702, 650.09939976]), 80, 12.0, 15, array([700, 400]), 1]
[array([288.20137003, 128.40372234]), 80, 12.0, 15, array([700, 400]), 1]
[array([245.01138235, 157.31778493]), 80, 12.0, 15, array([700, 400]), 1]
[array([242.94994343, 584.67465177]), 80, 12.0, 15, array([700, 400]), 1]
[array([636.98697273, 125.93373525]), 80, 12.0, 15, array([700, 400]), 1]
[array([103.32724504, 390.94566607]), 80, 12.0, 15, array([700, 400]), 1]
[array([677.8026796 , 305.09836814]), 80, 12.0, 15, array([700, 400]), 1]
[array([579.35363993, 579.30779873]), 80, 12.0, 15, array([700, 400]), 1]
[array([224.94897804, 366.02062108]), 80, 12.0, 15, array([700, 400]), 1]
[array([214.60417322, 680.49658408]), 80, 12.0, 15, array([700, 400]), 1]
[array([115.14541468, 260.14348887]), 80, 12.0, 15, array([700, 400]), 1]
[array([401.2426602 , 140.46918108]), 80, 12.0, 15, array([700, 400]), 1]
[array([163.26751966, 239.48787136]), 80, 12.0, 15, array([700, 400]), 1]
[array([103.56570623, 319.43147556]), 80, 12.0, 15, array([700, 400]), 1]
[array([458.45986502, 275.89148118]), 80, 12.0, 15, array([700, 400]), 1]
